Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Wang, Junliang",203244,"Zhejiang University of Technology",academic,2,19,9.5,0.39,55124316000
"Wang, Yifan",203007,"Anhui University of Technology",academic,2,53,26.5,1.13,57200731855
"Wei, Qin",203146,"Northwest Agriculture and Forestry University",academic,2,14,7.0,0.75,37066716500
"Wei, Yilin",203245,"Zhengzhou University",academic,2,4,2.0,0.43,58953358900
"Wu, Deyu",203073,"Guizhou University",academic,2,38,19.0,12.49,59013480200
"Wu, Haoran",203057,"East China University of Science and Technology",academic,2,0,0.0,0.00,57195319378
"Yan, Kun",203245,"Zhengzhou University",academic,2,138,69.0,5.98,57392771000
"Yang, Jian",203007,"Anhui University of Technology",academic,2,8,4.0,0.42,57840365200
"Yang, Tao",203007,"Anhui University of Technology",academic,2,20,10.0,0.91,57227190900
"Yang, Weiran",203124,"Nanchang University",academic,2,30,15.0,1.14,36089489800
"Yang, Zhengzeng",203245,"Zhengzhou University",academic,2,4,2.0,0.45,59133530600
"Zhang, Haiping",203206,"Tianjin University",academic,2,0,0.0,0.00,36447161200
"Zhang, Huanhuan",203245,"Zhengzhou University",academic,2,39,19.5,1.78,58524506600
"Zhang, Hui",501052,"Western University",academic,2,0,0.0,0.00,56979502300
"Zhang, Mengyuan",203245,"Zhengzhou University",academic,2,17,8.5,1.82,57223100013
"Zhang, Na",708386,"China University of Geosciences, Beijing",academic,2,124,62.0,8.40,56999534800
"Zhang, Wenli",203066,"Guangdong University of Technology",academic,2,231,115.5,4.47,57192222908
"Zhang, Zongxuan",203206,"Tianjin University",academic,2,0,0.0,0.00,59797099900
"Zhou, Heng",203073,"Guizhou University",academic,2,121,60.5,9.68,58571303200
"Zhu, Jesse",501052,"Western University",academic,2,0,0.0,0.00,58113875500
"Abinandan, Sudharsanam",201028,"University of Newcastle",academic,1,13,13.0,0.86,55842365900
"Ali, Zohaib",501052,"Western University",academic,1,4,4.0,0.40,58000150700
"Bao, Guangda",203007,"Anhui University of Technology",academic,1,43,43.0,3.30,57373214000
"Boumghar, Yacine",-,"CÉPROCQ",-,1,11,11.0,0.94,57225472600
"Bressler, David C.",501035,"University of Alberta",academic,1,3,3.0,0.11,6603915454
"Cao, Yijun",203245,"Zhengzhou University",academic,1,1,1.0,1.71,35175636500
"Chae, Michael",501035,"University of Alberta",academic,1,3,3.0,0.11,56335797000
"Chai, Shouning",203223,"Xi'an Jiaotong University",academic,1,1,1.0,1.38,52063213600
"Charpentier, Paul A.",501052,"Western University",academic,1,17,17.0,2.00,7102915057
"Che, Penghua",203270,"CAS - Dalian Institute of Chemical Physics",academic,1,8,8.0,1.06,55260425100
"Chen, Chongchong",203387,"Luoyang Normal University",academic,1,8,8.0,1.06,57198431954
"Chen, Haijun",203245,"Zhengzhou University",academic,1,17,17.0,1.26,57213704751
"Chen, Haipeng",203387,"Luoyang Normal University",academic,1,38,38.0,2.18,57200679743
"Chen, Lei",203126,"Nanjing Forestry University",academic,1,0,0.0,0.00,56048819200
"Chen, Season Si",203209,"Tsinghua University",academic,1,5,5.0,2.71,57161533100
"Chen, Shikuo",203124,"Nanchang University",academic,1,16,16.0,0.98,57476316100
"Chen, Tao",203022,"Central South University",academic,1,13,13.0,1.38,57208726520
"Chen, Xiao",205002,"City University of Hong Kong",academic,1,1,1.0,1.39,59507477700
"Chen, Xingfan",203124,"Nanchang University",academic,1,16,16.0,0.98,57224643122
"Chen, Yulong",203007,"Anhui University of Technology",academic,1,14,14.0,4.53,58121325100
"Chen, Zhengyu",-,"Zhejiang Academy of Special Equipment Science",-,1,2,2.0,0.23,59387858400
"Cheng, Defang",-,"Zhejiang Academy of Special Equipment Science",-,1,2,2.0,0.23,59387858500
"Cheng, Mengqing",203245,"Zhengzhou University",academic,1,18,18.0,3.04,58749493000
"Cheng, Xianglin",203245,"Zhengzhou University",academic,1,10,10.0,1.13,23088052600
"Cheng, Xing'an",717064,"Zhongkai University of Agriculture and Engineering",academic,1,15,15.0,1.41,37113640700
"Cui, Yajiao",203245,"Zhengzhou University",academic,1,27,27.0,3.37,58235551500
"David, Alice Jasmine",703244,"SRM Institute of Science and Technology",academic,1,13,13.0,0.86,58313925400
"Dong, Fangyun",717064,"Zhongkai University of Agriculture and Engineering",academic,1,15,15.0,1.41,57215876612
"Dong, Liang",205002,"City University of Hong Kong",academic,1,3,3.0,0.57,55752935000
"Du, Bin",-,"Zhejiang Academy of Special Equipment Science",-,1,2,2.0,0.23,59388156100
"Duan, Huamei",203047,"Chongqing University",academic,1,13,13.0,1.38,57193443384
"Duan, Ying",203387,"Luoyang Normal University",academic,1,6,6.0,0.43,56438591800
"El-Sayed, Hanan E.M.",-,"Greenfield Global Inc.",-,1,35,35.0,2.09,57347126600
"Evans, Sara",501007,"Dalhousie University",academic,1,2,2.0,0.22,58679759800
"Fan, Sichen",203076,"Harbin Institute of Technology",academic,1,7,7.0,1.68,57214945722
"Fan, Yanping",203091,"Henan Polytechnic University",academic,1,38,38.0,2.18,43361155500
"Fang, Yujie",203047,"Chongqing University",academic,1,13,13.0,1.38,58570720400
"Feng, Shanghuan",-,"International Centre for Bamboo and Rattan",-,1,14,14.0,3.10,55791034300
"Feng, Yunlong",203007,"Anhui University of Technology",academic,1,7,7.0,0.65,58499980200
"Fridrihsone, Anda",705267,"Latvian State Institute of Wood Chemistry",government,1,3,3.0,0.57,55523427800
"Fu, Fangbao",203066,"Guangdong University of Technology",academic,1,196,196.0,6.00,57195305968
