Data set,"Authors collaborating with Yuan, Zhiguo"
Entity,"Yuan, Zhiguo"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Li, Kaili",201029,"University of Queensland",academic,1,76,76.0,3.99,57213221475
"Li, Lanqing",203076,"Harbin Institute of Technology",academic,1,15,15.0,1.54,57223332264
"Li, Mengyu",201032,"University of Sydney",academic,1,19,19.0,2.11,57201739147
"Li, Shiqing",201029,"University of Queensland",academic,1,16,16.0,3.20,58798147500
"Li, Xianhui",203076,"Harbin Institute of Technology",academic,1,38,38.0,2.21,57226455002
"Li, Yangyang",203152,"Peking University",academic,1,2,2.0,0.53,57195337725
"Liang, Zhensheng",203198,"Sun Yat-Sen University",academic,1,87,87.0,3.48,57207341181
"Lim, Zhuan Khai",215003,"Nanyang Technological University",academic,1,15,15.0,1.67,57218295956
"Lin, Carol Sze Ki",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,57204760033
"Lin, Ruozhou",205002,"City University of Hong Kong",academic,1,1,1.0,1.57,57218282450
"Liu, Linfeng",201029,"University of Queensland",academic,1,76,76.0,3.99,57449083400
"Liu, Wenbin",203076,"Harbin Institute of Technology",academic,1,38,38.0,2.21,57195394016
"Liu, Xiawei",201029,"University of Queensland",academic,1,1,1.0,1.57,59127336100
"Lu, Chenkaixiang",203230,"Xinjiang University",academic,1,9,9.0,2.23,58961075100
"Lücker, Sebastian",325010,"Radboud University Nijmegen",academic,1,22,22.0,2.66,55922148500
"Malik, Arunima",201032,"University of Sydney",academic,1,19,19.0,2.11,56112637000
"McCubbin, Tim",201029,"University of Queensland",academic,1,5,5.0,0.45,57194943020
"Mohamad, Nur Nabilah Naina",201029,"University of Queensland",academic,1,5,5.0,0.55,58528593500
"Montoya, Alejandro",201032,"University of Sydney",academic,1,19,19.0,2.11,7005990573
"Mou, Jinhua",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,57210261255
"Mueller, Kara",-,"City of Gold Coast",-,1,19,19.0,1.03,57215417296
"Muriel, Jorge Carrasco",310009,"Technical University of Denmark",academic,1,5,5.0,0.45,57577381300
"Nerenberg, Robert",508328,"University of Notre Dame",academic,1,3,3.0,1.36,6603334026
"Newell, Rhys J.P.",201018,"Queensland University of Technology",academic,1,30,30.0,4.48,57219817282
"Ngiam, Lyman",201029,"University of Queensland",academic,1,71,71.0,7.98,57226815051
"O'Moore, Liza M.",201029,"University of Queensland",academic,1,19,19.0,1.03,30067857400
"Peng, Yongzhen",203018,"Beijing University of Technology",academic,1,11,11.0,2.83,57218718553
"Piculell, Maria",-,"AnoxKaldnes AB",-,1,13,13.0,0.78,56009326600
"Plan, Manuel Rey R.",201017,"Queensland Institute of Medical Research",academic,1,12,12.0,0.85,6602493122
"Qin, Zihao",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,57217021562
"Qiu, Yanying",203198,"Sun Yat-Sen University",academic,1,87,87.0,3.48,57195675924
"Rattier, Maxime",201029,"University of Queensland",academic,1,15,15.0,1.67,36942161500
"Reddy, Nichelle",215004,"National University of Singapore",academic,1,24,24.0,1.26,57739336900
"Ren, Daheng",203076,"Harbin Institute of Technology",academic,1,15,15.0,0.92,57214331905
"Ren, Zhiyong Jason",508191,"Princeton University",academic,1,15,15.0,1.82,16835400100
"Rufford, Thomas Edward",201029,"University of Queensland",academic,1,40,40.0,1.59,58008563600
"Sabba, F.",711291,"Black & Veatch",corporate,1,3,3.0,1.36,57188922494
"Schembri, Mark A.",201029,"University of Queensland",academic,1,71,71.0,7.98,7004603064
"Seneviratne, Dilini",-,"Sewerage Planning – Service Futures",-,1,4,4.0,0.45,59810769400
"Shrestha, Sohan",201029,"University of Queensland",academic,1,11,11.0,1.44,57209154934
"Smets, Barth F.",310009,"Technical University of Denmark",academic,1,3,3.0,1.36,7006949747
"Song, Cuihong",508191,"Princeton University",academic,1,15,15.0,1.82,58033895100
"Song, Yunqian",201029,"University of Queensland",academic,1,10,10.0,2.48,57216081862
"Sonnenschein, Nikolaus",310009,"Technical University of Denmark",academic,1,5,5.0,0.45,57195270010
"Spérandio, Mathieu",703002,"Institut national des sciences appliquées de Toulouse",academic,1,3,3.0,1.36,7003559843
"Stark, Terra",201029,"University of Queensland",academic,1,35,35.0,2.34,57213823621
"Sun, Jianliang",715818,"Westlake University",academic,1,87,87.0,3.48,55948831500
"Sun, Siao A.",203065,"University of Chinese Academy of Sciences",academic,1,214,214.0,5.51,55479101200
"Sun, Wenjun",203209,"Tsinghua University",academic,1,2,2.0,0.53,55726606600
"Tatiparthi, Sundra R.",212005,"The University of Auckland",academic,1,0,0.0,0.00,57219595668
"Thompson, Jack S.",201029,"University of Queensland",academic,1,29,29.0,2.06,26666395800
"Tian, Yajie",203209,"Tsinghua University",academic,1,38,38.0,2.21,57366106100
"Tsang, Daniel C.W.",205005,"Hong Kong University of Science and Technology",academic,1,5,5.0,2.71,59170062200
"Vanrolleghem, Peter A.",501034,"Université Laval",academic,1,3,3.0,1.36,7004281378
"Vassilev, Igor",313012,"Tampere University",academic,1,12,12.0,0.85,56720263800
"Verstraete, Willy Henry",303004,"Ghent University",academic,1,63,63.0,3.67,35235601700
"Volcke, Eveline I.P.",303004,"Ghent University",academic,1,2,2.0,0.91,6507108691
"Wang, Bingzheng",203106,"Jiangnan University",academic,1,11,11.0,1.44,57208089080
"Wang, Lianzhou",201029,"University of Queensland",academic,1,85,85.0,4.47,35235296900
"Wang, Suicao",201029,"University of Queensland",academic,1,2,2.0,0.44,59175587300
"Wang, Xiuheng",203076,"Harbin Institute of Technology",academic,1,15,15.0,1.54,57202369630
"Wang, Yaran",203206,"Tianjin University",academic,1,0,0.0,0.00,57192701944
"Wang, Zhiliang",201029,"University of Queensland",academic,1,85,85.0,4.47,56179430600
"Watt, Shane",201029,"University of Queensland",academic,1,3,3.0,0.77,57218372054
"Watts, Shane",201029,"University of Queensland",academic,1,0,0.0,0.00,56256987900
"Whittaker, Colin N.",212005,"The University of Auckland",academic,1,0,0.0,0.00,56624165300
"Wilkie, Simeon",722075,"The Getty",other,1,19,19.0,1.03,57209463742
"Wood, Jamin C.",201029,"University of Queensland",academic,1,10,10.0,0.44,57225075989
"Wood, Richard",326005,"Norwegian University of Science and Technology",academic,1,19,19.0,2.11,57196060442
"Woodcroft, Ben J.",201018,"Queensland University of Technology",academic,1,30,30.0,4.48,24451582800
"Wyllie, David",710968,"Tonkin & Taylor, Hamilton",corporate,1,0,0.0,0.00,59660323200
"Xia, Juntao",203198,"Sun Yat-Sen University",academic,1,1,1.0,0.23,57201253282
"Xie, Shuguang",203152,"Peking University",academic,1,2,2.0,0.53,11440065700
"Xin, Kunlun",203208,"Tongji University",academic,1,1,1.0,1.57,16023519100
"Xu, C. C.",205002,"City University of Hong Kong",academic,1,5,5.0,2.71,35207737400
"Xu, Kangning",203009,"Beijing Forestry University",academic,1,15,15.0,1.54,40361697200
"Xue, Yanei",203209,"Tsinghua University",academic,1,2,2.0,0.53,57191488838
"Yan, Penghui",201028,"University of Newcastle",academic,1,26,26.0,2.53,57214668191
"Yan, Shuang",203152,"Peking University",academic,1,2,2.0,0.53,58126495700
"Yang, Jiakuan",203099,"Huazhong University of Science and Technology",academic,1,33,33.0,2.30,12902735200
"Yang, Shaolin",203209,"Tsinghua University",academic,1,15,15.0,0.92,57205612959
"Yin, Hongzhi",201029,"University of Queensland",academic,1,76,76.0,3.99,55007318200
"Ying, Yifeng",201029,"University of Queensland",academic,1,11,11.0,2.72,58972200100
"Yu, Miao",201018,"Queensland University of Technology",academic,1,23,23.0,1.63,58307512500
"Yu, Wenbo",203099,"Huazhong University of Science and Technology",academic,1,33,33.0,2.30,55927732500
"Zhang, Chenming",201029,"University of Queensland",academic,1,9,9.0,2.23,55838510304
"Zhang, Liang",203198,"Sun Yat-Sen University",academic,1,87,87.0,3.48,57221583595
"Zhao, Hengke",201027,"University of New South Wales",academic,1,1,1.0,0.12,58671255300
"Zhao, Jun",205003,"Hong Kong Baptist University",academic,1,5,5.0,2.71,56754347300
"Zheng, Qiuda",201029,"University of Queensland",academic,1,29,29.0,2.06,57189255449
"Zhong, Ray Runyang",205006,"The University of Hong Kong",academic,1,0,0.0,0.00,55353690000
"Zhu, Junjie",508191,"Princeton University",academic,1,15,15.0,1.82,56688729000
"Zhu, Ying",203168,"Shanghai Jiao Tong University",academic,1,2,2.0,0.53,55446229000
"Zhu, Zhonghua John",201029,"University of Queensland",academic,1,26,26.0,2.53,7404803730
"Zhuang, Wei-Qin",212005,"The University of Auckland",academic,1,0,0.0,0.00,7103154968
"Zu, Yilin",201029,"University of Queensland",academic,1,0,0.0,0.00,57207684693
"Zuo, Lukun",203435,"SINOPEC",corporate,1,0,0.0,0.00,59404964100
"de Costa, Yashika Gregory",212005,"The University of Auckland",academic,1,0,0.0,0.00,57194591434

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
