Data set,"Authors collaborating with Wang, Wenxiong"
Entity,"Wang, Wenxiong"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Rowlands, F. M.",315097,"University of Southampton",academic,1,17,17.0,0.72,57451730700
"Soe, Kay Khine",702969,"College of Micronesia",academic,1,2,2.0,0.42,57226743989
"Su, Hang",203112,"Jinan University",academic,1,11,11.0,0.89,58380767600
"Sun, Jiaji",205002,"City University of Hong Kong",academic,1,9,9.0,0.73,57189894403
"Tan, Sha",203198,"Sun Yat-Sen University",academic,1,20,20.0,1.08,56463324000
"Tian, Yubo",717064,"Zhongkai University of Agriculture and Engineering",academic,1,37,37.0,3.66,57287238200
"Ting-Xia Dong, Tina",205005,"Hong Kong University of Science and Technology",academic,1,14,14.0,1.51,57218167517
"Wang, Huaiyou",203092,"Henan University",academic,1,9,9.0,1.80,57190343117
"Wang, Junjie",203189,"South China Normal University",academic,1,20,20.0,1.08,56920856600
"Wang, Xiuxiu",203222,"Xiamen University",academic,1,7,7.0,1.80,58854464100
"Wang, Xuefeng",203351,"Guangdong Ocean University",academic,1,9,9.0,1.14,55736859000
"Wang, Xun",203188,"South China Agricultural University",academic,1,20,20.0,1.08,57214248539
"Wang, Yan",203036,"China University of Geosciences, Wuhan",academic,1,4,4.0,0.86,58844238200
"Wang, Yan",203071,"Guangzhou University",academic,1,7,7.0,1.80,59655897200
"Weng, Nanyan Yang",715088,"Chinese Research Academy of Environmental Sciences",academic,1,32,32.0,1.02,55939665000
"Wong, Tinyan",205005,"Hong Kong University of Science and Technology",academic,1,7,7.0,1.80,56581012700
"Wu, Fengchang",715088,"Chinese Research Academy of Environmental Sciences",academic,1,32,32.0,1.02,57935361200
"Wu, Jiaxue",203198,"Sun Yat-Sen University",academic,1,8,8.0,1.48,36451425200
"Wu, Qiyun",205005,"Hong Kong University of Science and Technology",academic,1,14,14.0,1.51,57786464600
"Wu, Zhiwei",-,"Ltd.",-,1,7,7.0,1.80,59486016600
"Wu, Ziqian",717064,"Zhongkai University of Agriculture and Engineering",academic,1,37,37.0,3.66,57216990229
"Xie, Huilin",708595,"The Chinese University of Hong Kong, Shenzhen",academic,1,3,3.0,0.56,57222083455
"Xie, Minwei",203222,"Xiamen University",academic,1,7,7.0,1.80,56622017900
"Xu, Zhengtao",215001,"Agency for Science, Technology and Research, Singapore",government,1,28,28.0,1.72,9843801700
"Yan Wong, Tin",205005,"Hong Kong University of Science and Technology",academic,1,4,4.0,0.86,58962577500
"Yang, Jian",203330,"Chinese Academy of Fishery Sciences",government,1,9,9.0,1.14,35792899800
"Yang, Junwei",205002,"City University of Hong Kong",academic,1,17,17.0,2.68,57222809977
"Yang, Xiaolong",203008,"Beihang University",academic,1,1,1.0,0.25,59897445600
